['2024-03-23', '-7.274876666666667', '112.797975']
['2024-03-23', '-7.274876666666667', '112.797975']
['2024-03-23', '-7.274876666666667', '112.797975']
['2024-03-23', '-7.274876666666667', '112.797975']
['2024-03-23', '-7.274876666666667', '112.797975']
['2024-03-23', '-7.274876666666667', '112.797975']
['2024-03-23', '-7.274876666666667', '112.797975']
['2024-03-23', '-7.274876666666667', '112.797975']
['2024-03-23', '-7.274876666666667', '112.797975']
['2024-03-23', '-7.274876666666667', '112.797975']
