gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z
1.25,-0.6875,0.875,0.037087999999999996,-0.050752,1.037488,0.278,-0.47700000000000004,0.561
1.625,-0.6875,0.875,0.038064,-0.048799999999999996,1.038464,0.276,-0.475,0.57
1.25,-0.8125,0.625,0.038064,-0.048799999999999996,1.037488,0.271,-0.48900000000000005,0.561
1.375,-0.5625,0.7500000000000001,0.037087999999999996,-0.047824,1.037488,0.274,-0.475,0.5630000000000001
1.625,-0.5625,1.0625,0.037087999999999996,-0.048799999999999996,1.03456,0.275,-0.48700000000000004,0.552
1.3125,-0.6875,0.6875,0.038064,-0.046848,1.038464,0.27,-0.47600000000000003,0.561
1.125,-0.625,0.875,0.037087999999999996,-0.047824,1.035536,0.271,-0.47900000000000004,0.5770000000000001
1.375,-0.8125,0.7500000000000001,0.038064,-0.048799999999999996,1.03944,0.26,-0.48900000000000005,0.557
1.8125000000000002,-0.5,0.875,0.036112,-0.048799999999999996,1.037488,0.278,-0.48100000000000004,0.562
0.875,-0.5625,0.5,0.038064,-0.048799999999999996,1.038464,0.272,-0.48900000000000005,0.558
1.375,-0.4375,0.9374999999999999,0.038064,-0.047824,1.038464,0.273,-0.48900000000000005,0.565
1.5000000000000002,-0.37500000000000006,0.625,0.037087999999999996,-0.047824,1.03456,0.273,-0.49400000000000005,0.561
1.0625,-1.0,0.9374999999999999,0.03904,-0.048799999999999996,1.037488,0.262,-0.48300000000000004,0.5690000000000001
1.25,-0.6875,0.7500000000000001,0.038064,-0.046848,1.0365119999999999,0.28,-0.48300000000000004,0.5640000000000001
1.4375,-0.6875,0.625,0.037087999999999996,-0.047824,1.03456,0.269,-0.49300000000000005,0.575
1.375,-0.875,0.8125,0.038064,-0.048799999999999996,1.037488,0.277,-0.48300000000000004,0.5760000000000001
1.3125,-0.7500000000000001,1.0,0.038064,-0.046848,1.0365119999999999,0.264,-0.47700000000000004,0.5730000000000001
1.1875,-0.7500000000000001,0.875,0.037087999999999996,-0.047824,1.035536,0.268,-0.48100000000000004,0.5640000000000001
1.0,-0.875,0.9374999999999999,0.037087999999999996,-0.046848,1.0365119999999999,0.264,-0.48700000000000004,0.556
1.3125,-1.0625,0.8125,0.03904,-0.047824,1.038464,0.278,-0.48200000000000004,0.5710000000000001
1.25,-1.0,0.8125,0.03904,-0.045871999999999996,1.038464,0.269,-0.48300000000000004,0.5680000000000001
1.25,-0.8125,0.8125,0.038064,-0.047824,1.038464,0.278,-0.48100000000000004,0.565
1.3125,-0.8125,0.8125,0.038064,-0.046848,1.03944,0.27,-0.48400000000000004,0.565
